main_genre,gm%_max,gm%_min,gm%_std,gross_margin
Horror/Mystery/Thriller,99.84,20.56,14.626448132590813,90.18275862068968
Adventure/Animation/Comedy,95.05,-1.03,18.04011408728407,72.57492537313436
Action/Adventure/Sci-Fi,92.63,-81.79,26.995857170574478,71.00230769230768
Biography/Drama/History,97.37,-12.84,28.254477084608656,68.04909090909092
Action/Adventure/Fantasy,89.2,-6.32,26.15598373530024,56.96580645161291
Drama/Romance,97.22,-368.8,99.73030820263993,42.03249999999999
Biography/Drama,94.31,-130.81,70.58143834065223,36.764117647058825
Comedy/Drama,97.54,-712.0,135.9848034662482,32.61023255813955
Action/Adventure/Comedy,95.02,-1674.19,372.89270066770604,-9.012727272727282
Action/Crime/Thriller,89.96,-1074.2,248.4067865609227,-13.42
